mean,group_var,bin,outcome,mkt,boot_rep
-0.0178096172343194,overall,,ch_dist,5,79
-0.0175136082239369,age,"(19.6,28.2]",ch_dist,5,79
-0.0182529258635221,age,"(28.2,36.8]",ch_dist,5,79
-0.0182339874332427,age,"(36.8,45.4]",ch_dist,5,79
-0.0169271894906901,age,"(45.4,54]",ch_dist,5,79
-0.0174556855528794,age,"[11,19.6]",ch_dist,5,79
-0.0178096172343194,ci_scorent,100,ch_dist,5,79
-0.0178096172343194,obgyn_10kwra,100,ch_dist,5,79
-0.0167658239908355,nhblack,0,ch_dist,5,79
-0.0191010710091969,nhblack,1,ch_dist,5,79
-0.0175497009603035,mcaid_unins,0,ch_dist,5,79
-0.0180692716468043,mcaid_unins,1,ch_dist,5,79
-0.0177679645364029,hispanic,0,ch_dist,5,79
-0.0181620478615819,hispanic,1,ch_dist,5,79
0.176872656666149,overall,,ch_peri,5,79
0.161140214246134,age,"(19.6,28.2]",ch_peri,5,79
0.186758881472883,age,"(28.2,36.8]",ch_peri,5,79
0.263848187704818,age,"(36.8,45.4]",ch_peri,5,79
0.402789208602878,age,"(45.4,54]",ch_peri,5,79
0.160352751015055,age,"[11,19.6]",ch_peri,5,79
0.176872656666149,ci_scorent,100,ch_peri,5,79
0.176872656666149,obgyn_10kwra,100,ch_peri,5,79
0.202701469626912,nhblack,0,ch_peri,5,79
0.119813834796686,nhblack,1,ch_peri,5,79
0.114899683513229,mcaid_unins,0,ch_peri,5,79
0.238783193029766,mcaid_unins,1,ch_peri,5,79
0.168268354510168,hispanic,0,ch_peri,5,79
0.249675134240695,hispanic,1,ch_peri,5,79
-0.0658352458474235,overall,,ch_teach,5,79
-0.0516854048713145,age,"(19.6,28.2]",ch_teach,5,79
-0.0808408771446132,age,"(28.2,36.8]",ch_teach,5,79
-0.124071879701253,age,"(36.8,45.4]",ch_teach,5,79
-0.184328303111626,age,"(45.4,54]",ch_teach,5,79
-0.0402368003542808,age,"[11,19.6]",ch_teach,5,79
-0.0658352458474235,ci_scorent,100,ch_teach,5,79
-0.0658352458474235,obgyn_10kwra,100,ch_teach,5,79
-0.0745883850777511,nhblack,0,ch_teach,5,79
-0.0769419504135712,nhblack,1,ch_teach,5,79
-0.0188806419482123,mcaid_unins,0,ch_teach,5,79
-0.112840627371159,mcaid_unins,1,ch_teach,5,79
-0.0705933342487331,hispanic,0,ch_teach,5,79
-0.0252832389038678,hispanic,1,ch_teach,5,79
-0.00279412593850698,overall,,ch_csection,5,79
-0.00171755376141798,age,"(19.6,28.2]",ch_csection,5,79
-0.00259581472370003,age,"(28.2,36.8]",ch_csection,5,79
-0.00922562015416177,age,"(36.8,45.4]",ch_csection,5,79
-0.0200503664212047,age,"(45.4,54]",ch_csection,5,79
-0.00556456980846413,age,"[11,19.6]",ch_csection,5,79
-0.00279412593850698,ci_scorent,100,ch_csection,5,79
-0.00279412593850698,obgyn_10kwra,100,ch_csection,5,79
0.0023892964616701,nhblack,0,ch_csection,5,79
-0.0129211765531396,nhblack,1,ch_csection,5,79
0.0102585726112141,mcaid_unins,0,ch_csection,5,79
-0.0158336741010881,mcaid_unins,1,ch_csection,5,79
-0.00320395322838606,hispanic,0,ch_csection,5,79
0.000673493112983551,hispanic,1,ch_csection,5,79
