mean,group_var,bin,outcome,mkt,boot_rep
-0.0179327206245774,overall,,ch_dist,5,93
-0.0176757235483971,age,"(19.6,28.2]",ch_dist,5,93
-0.0183003312335269,age,"(28.2,36.8]",ch_dist,5,93
-0.0182201193074875,age,"(36.8,45.4]",ch_dist,5,93
-0.0179838164968481,age,"(45.4,54]",ch_dist,5,93
-0.0177823525921264,age,"[11,19.6]",ch_dist,5,93
-0.0185163896697807,ci_scorent,10,ch_dist,5,93
-0.0134209948028089,ci_scorent,100,ch_dist,5,93
-0.0185917603679908,ci_scorent,75,ch_dist,5,93
-0.017628257596991,ci_scorent,90,ch_dist,5,93
-0.0140247223676604,obgyn_10kwra,10,ch_dist,5,93
-0.0278815291377643,obgyn_10kwra,100,ch_dist,5,93
-0.0149296800041713,obgyn_10kwra,25,ch_dist,5,93
-0.0136678402192702,obgyn_10kwra,50,ch_dist,5,93
-0.0175075382981135,obgyn_10kwra,75,ch_dist,5,93
-0.028167150344197,obgyn_10kwra,90,ch_dist,5,93
-0.0168124613934475,nhblack,0,ch_dist,5,93
-0.0193757067566741,nhblack,1,ch_dist,5,93
-0.0176987236101093,mcaid_unins,0,ch_dist,5,93
-0.0181669535639031,mcaid_unins,1,ch_dist,5,93
-0.0179500771245721,hispanic,0,ch_dist,5,93
-0.0177892186110119,hispanic,1,ch_dist,5,93
0.175272505199286,overall,,ch_peri,5,93
0.155092067257444,age,"(19.6,28.2]",ch_peri,5,93
0.191309637668775,age,"(28.2,36.8]",ch_peri,5,93
0.275162460358495,age,"(36.8,45.4]",ch_peri,5,93
0.343002972207726,age,"(45.4,54]",ch_peri,5,93
0.151090747666091,age,"[11,19.6]",ch_peri,5,93
0.102761388743376,ci_scorent,10,ch_peri,5,93
0.468945864006407,ci_scorent,100,ch_peri,5,93
0.177977952852093,ci_scorent,75,ch_peri,5,93
0.268815971535403,ci_scorent,90,ch_peri,5,93
0.39712330976995,obgyn_10kwra,10,ch_peri,5,93
0.0328765714975778,obgyn_10kwra,100,ch_peri,5,93
0.336545510625056,obgyn_10kwra,25,ch_peri,5,93
0.192333645066012,obgyn_10kwra,50,ch_peri,5,93
0.095096235793045,obgyn_10kwra,75,ch_peri,5,93
0.0344888735766495,obgyn_10kwra,90,ch_peri,5,93
0.198569178792501,nhblack,0,ch_peri,5,93
0.116370729205279,nhblack,1,ch_peri,5,93
0.110908886287242,mcaid_unins,0,ch_peri,5,93
0.239701018006067,mcaid_unins,1,ch_peri,5,93
0.164535092928333,hispanic,0,ch_peri,5,93
0.264048484332897,hispanic,1,ch_peri,5,93
-0.0686482957203756,overall,,ch_teach,5,93
-0.0499953743515879,age,"(19.6,28.2]",ch_teach,5,93
-0.0896201139973042,age,"(28.2,36.8]",ch_teach,5,93
-0.143470258565979,age,"(36.8,45.4]",ch_teach,5,93
-0.215441301971317,age,"(45.4,54]",ch_teach,5,93
-0.0323939505832128,age,"[11,19.6]",ch_teach,5,93
-0.0487884278337669,ci_scorent,10,ch_teach,5,93
-0.0959741414006714,ci_scorent,100,ch_teach,5,93
-0.0915045856146646,ci_scorent,75,ch_teach,5,93
-0.0964563503306201,ci_scorent,90,ch_teach,5,93
-0.107684684588527,obgyn_10kwra,10,ch_teach,5,93
-0.0604672631803094,obgyn_10kwra,100,ch_teach,5,93
-0.0692958448336874,obgyn_10kwra,25,ch_teach,5,93
-0.0683274001057215,obgyn_10kwra,50,ch_teach,5,93
-0.060370458604823,obgyn_10kwra,75,ch_teach,5,93
-0.0592557139768737,obgyn_10kwra,90,ch_teach,5,93
-0.0746632221283357,nhblack,0,ch_teach,5,93
-0.0810698159625177,nhblack,1,ch_teach,5,93
-0.0172477342871169,mcaid_unins,0,ch_teach,5,93
-0.120258404158366,mcaid_unins,1,ch_teach,5,93
-0.0721121454111113,hispanic,0,ch_teach,5,93
-0.039873532712893,hispanic,1,ch_teach,5,93
-0.00175928629668603,overall,,ch_csection,5,93
-0.00108566496191637,age,"(19.6,28.2]",ch_csection,5,93
-0.001315126303034,age,"(28.2,36.8]",ch_csection,5,93
-0.00680922257015122,age,"(36.8,45.4]",ch_csection,5,93
-0.00509875172803018,age,"(45.4,54]",ch_csection,5,93
-0.0041418394920404,age,"[11,19.6]",ch_csection,5,93
0.00839716689160389,ci_scorent,10,ch_csection,5,93
-0.0412966394417401,ci_scorent,100,ch_csection,5,93
-0.00154919078844464,ci_scorent,75,ch_csection,5,93
-0.0173427594492227,ci_scorent,90,ch_csection,5,93
0.000485962959991564,obgyn_10kwra,10,ch_csection,5,93
-0.00802949933904502,obgyn_10kwra,100,ch_csection,5,93
0.00669658900240885,obgyn_10kwra,25,ch_csection,5,93
0.00119542680581933,obgyn_10kwra,50,ch_csection,5,93
-0.00570986855812437,obgyn_10kwra,75,ch_csection,5,93
-0.00662791413933582,obgyn_10kwra,90,ch_csection,5,93
0.00283102654622396,nhblack,0,ch_csection,5,93
-0.01151049781136,nhblack,1,ch_csection,5,93
0.0100062821674454,mcaid_unins,0,ch_csection,5,93
-0.0135367172628698,mcaid_unins,1,ch_csection,5,93
-0.00244013958240891,hispanic,0,ch_csection,5,93
0.00386994871461158,hispanic,1,ch_csection,5,93
