group,atl_area,n_markets,ch_dist,ch_peri,ch_teach,ch_csection
experienced,Atlanta area,1,-0.027603347867067664,0.1309907230148437,0.10132228565228275,0.022148756860363224
first_time,Atlanta area,1,-0.025870985105955837,0.12606646928620077,0.1046953070115741,0.03452120162299732
experienced,Outside Atlanta,9,-0.019149160365458207,0.13676627976235675,0.0714690140875386,-0.015169758150615532
first_time,Outside Atlanta,9,-0.018337307091567383,0.1219263577500866,0.08144975393806288,-0.013953654565186942
