group,mkt,atl_area,n_deliveries,ch_dist,ch_peri,ch_teach,ch_csection
first_time,2,Outside Atlanta,16094,-0.022131062822010418,0.14910911617593617,0.16424478056771377,-0.012366681664199103
first_time,3,Outside Atlanta,6973,-0.009564544814737666,NA,-0.0556814148055986,-0.03917690951646254
first_time,4,Outside Atlanta,7328,-0.02391984374564343,0.12007855390252321,NA,-0.033711564608068616
first_time,5,Outside Atlanta,26753,-0.017940753508172168,0.13242990825394926,-0.03956718629923817,0.0017599410597429923
first_time,6,Outside Atlanta,2025,-0.01139527773087524,NA,NA,0.024530523506531236
first_time,7,Outside Atlanta,7610,-0.010721726459646056,0.09398179325472987,0.07980077338546603,-0.001825242938993066
first_time,8,Outside Atlanta,15338,-0.025363216083259737,0.2248760712847186,0.28302995975045153,-0.026149609417110337
first_time,9,Atlanta area,161022,-0.025870985105955837,0.12606646928620077,0.1046953070115741,0.03452120162299732
first_time,10,Outside Atlanta,8320,-0.01059769565912027,0.05962540696576893,0.06542005230873635,0.005790466609777882
first_time,11,Outside Atlanta,11934,-0.018208120659004262,-0.008204424384948884,0.07435719034256313,-0.036804002292708145
experienced,2,Outside Atlanta,27384,-0.022387009139625477,0.15004646490418472,0.16465495654273216,-0.0112539722638455
experienced,3,Outside Atlanta,12088,-0.010066790669873598,NA,-0.049833409735485834,-0.0320823705574648
experienced,4,Outside Atlanta,11688,-0.032772921877566294,0.1677089580041074,NA,-0.02407307253593329
experienced,5,Outside Atlanta,40686,-0.01775444012582488,0.1880284095649011,-0.08899483383428304,-0.003308689369207708
experienced,6,Outside Atlanta,2751,-0.0060897027929551146,NA,NA,0.042925066881480206
experienced,7,Outside Atlanta,13227,-0.01102408113728384,0.08271525244599248,0.0812604095207585,-0.0019424105719334024
experienced,8,Outside Atlanta,26513,-0.025274023639536035,0.19549421967476885,0.2610858333241001,-0.024493498423231376
experienced,9,Atlanta area,235389,-0.027603347867067664,0.1309907230148437,0.10132228565228275,0.022148756860363224
experienced,10,Outside Atlanta,14249,-0.010450066406055579,0.06318317153529189,0.058004936281110364,-0.0017971260222060003
experienced,11,Outside Atlanta,19853,-0.020337664759733802,0.005571556052262518,0.0955540438753074,-0.04334842269957281
