sample,atl_area,n_markets,ch_dist,ch_peri,ch_teach,ch_csection
full,Atlanta area,1,-0.027001965903163595,0.12917064532487985,0.10073148450851671,0.025181365924859436
pre_covid,Atlanta area,1,-0.027274033461295664,0.14479562491326825,0.09376619955864554,0.012688793067663233
full,Outside Atlanta,9,-0.018772271052261962,0.13329229823852543,0.0744842362877923,-0.015359823613274991
pre_covid,Outside Atlanta,9,-0.01965911809700824,0.14732859362995032,0.05223557132386182,-0.014922935291190244
