sample,mkt,atl_area,n_deliveries,ch_dist,ch_peri,ch_teach,ch_csection
full,2,Outside Atlanta,45903,-0.022299545474459333,0.15170080115285603,0.16370289893904758,-0.012898579062943833
full,3,Outside Atlanta,20194,-0.009853200137125548,NA,-0.04967181299844007,-0.032636246352737326
full,4,Outside Atlanta,20318,-0.029313280147770147,0.1479516941210827,NA,-0.03369583291203075
full,5,Outside Atlanta,70733,-0.01790505197292114,0.1768309535452566,-0.06865501172380438,-0.0019883698772166173
full,6,Outside Atlanta,5188,-0.00851077660621061,NA,NA,0.035494403637792604
full,7,Outside Atlanta,22491,-0.010702025048557858,0.08033153685931996,0.08701388474796551,-0.0016274452164938317
full,8,Outside Atlanta,44188,-0.025234140365031653,0.20567958492464825,0.26687149576327196,-0.022485143686661102
full,9,Atlanta area,420619,-0.027001965903163595,0.12917064532487985,0.10073148450851671,0.025181365924859436
full,10,Outside Atlanta,23740,-0.01041133027501387,0.062428741355879086,0.060156112202544486,0.0011684350561486795
full,11,Outside Atlanta,33919,-0.019157430211118164,-7.824952442421158e-4,0.0772440033143381,-0.04447519549580463
pre_covid,2,Outside Atlanta,32020,-0.022895218832969508,0.15455575860843843,0.12389411422907846,-0.009708446294008504
pre_covid,3,Outside Atlanta,14116,-0.009654381066538525,NA,-0.0630497287070293,-0.04943742936376724
pre_covid,4,Outside Atlanta,14420,-0.03024509036237473,0.154969566368632,NA,-0.049252341347844834
pre_covid,5,Outside Atlanta,49522,-0.01821483122088178,0.1907288516447758,-0.09716302508721988,-0.0010640440266946557
pre_covid,6,Outside Atlanta,3648,-0.0069031678721703125,NA,NA,0.05218797923069918
pre_covid,7,Outside Atlanta,15974,-0.010666441147148641,0.15255802616272005,NA,-0.0022685756178763908
pre_covid,8,Outside Atlanta,30743,-0.025333909074241684,0.2335540940706708,0.2732577266516087,-0.004469054417414056
pre_covid,9,Atlanta area,294630,-0.027274033461295664,0.14479562491326825,0.09376619955864554,0.012688793067663233
pre_covid,10,Outside Atlanta,16885,-0.01034490175378376,0.06620770793193656,0.05823905430901752,-0.0024597535698602387
pre_covid,11,Outside Atlanta,23791,-0.02510127474990658,-0.014728637559564198,0.04530543435758608,-0.05064388682282742
