measure,mkt,atl_area,n_hosp,n_deliveries,ch_dist,ch_peri,ch_teach,ch_csection,atl_share,cor_diff_dist
straight,2,Outside Atlanta,10,45881,-0.022304374167453785,0.15189271225187032,0.16375686603437678,-0.012916629217212976,0,0.9940093953268627
straight,3,Outside Atlanta,4,20194,-0.009853200137125548,NA,-0.04967181299844007,-0.032636246352737326,0,0.9940093953268627
straight,4,Outside Atlanta,4,20312,-0.02929547275022743,0.14790314923199616,NA,-0.033739506240697416,0,0.9940093953268627
straight,5,Outside Atlanta,12,70571,-0.01790001176419008,0.17718881383153753,-0.0689759509592792,-0.0020164214774019847,0,0.9940093953268627
straight,6,Outside Atlanta,3,5184,-0.008506937701825491,NA,NA,0.035563941952199765,0,0.9940093953268627
straight,7,Outside Atlanta,6,22479,-0.010696438874661268,0.08065577065428375,0.08660143940630784,-0.0016047568492119839,0,0.9940093953268627
straight,8,Outside Atlanta,7,44143,-0.025221323192462557,0.2055808864731615,0.2667438320847754,-0.02250863092281268,0,0.9940093953268627
straight,9,Atlanta area,31,419886,-0.026997082280887885,0.12907240572392503,0.10085189987818309,0.025221056005909112,1,0.9940093953268627
straight,10,Outside Atlanta,3,23718,-0.010418161941123272,0.06246579860400047,0.06015698676472733,0.0011674981280021147,0,0.9940093953268627
straight,11,Outside Atlanta,4,33877,-0.019165954394469328,-8.194978626154767e-4,0.07711431790748431,-0.04444561167990476,0,0.9940093953268627
drive,2,Outside Atlanta,10,45881,-0.019077559461387332,0.13581488320993287,0.16721548275464237,-0.01260214390798754,0,0.9940093953268627
drive,3,Outside Atlanta,4,20194,-0.008378875085679827,NA,-0.041150227952148,-0.03198576895701681,0,0.9940093953268627
drive,4,Outside Atlanta,4,20312,-0.03063425054476153,0.13083987697400004,NA,-0.022161866367087873,0,0.9940093953268627
drive,5,Outside Atlanta,12,70571,-0.01517740526423424,0.16069732691164326,-0.05676545721359815,-0.0026433581393888257,0,0.9940093953268627
drive,6,Outside Atlanta,3,5184,-0.007414080228131744,NA,NA,0.03325795915123801,0,0.9940093953268627
drive,7,Outside Atlanta,6,22479,-0.009262729819646822,0.0694393584483095,0.08843134288278272,-0.0015573218448340967,0,0.9940093953268627
drive,8,Outside Atlanta,7,44143,-0.02134107471037783,0.21999648861761614,0.25563841964670603,-0.02122564159762177,0,0.9940093953268627
drive,9,Atlanta area,31,419886,-0.0227994271476915,0.1253310437857979,0.09824871887154235,0.026789177511569243,1,0.9940093953268627
drive,10,Outside Atlanta,3,23718,-0.008863498272355039,0.06776150921104226,0.048718387604576696,0.0010989507337165183,0,0.9940093953268627
drive,11,Outside Atlanta,4,33877,-0.016973308741020356,-0.004117456533468599,0.0786294254342013,-0.0441023057473542,0,0.9940093953268627
