spec,atl_area,n_markets,ch_dist,ch_peri,ch_teach,ch_csection,ch_system
base,Atlanta area,1,-0.027001965903163595,0.12917064532487985,0.10073148450851671,0.025181365924859436,NA
system,Atlanta area,1,-0.02703309531360878,0.13132418027115023,0.10578956095240888,0.024313991794364623,0.04757378087338239
base,Outside Atlanta,9,-0.018772271052261962,0.13329229823852543,0.0744842362877923,-0.015359823613274991,NA
system,Outside Atlanta,9,-0.0189600075556512,0.1527444513247126,0.07647843869002661,-0.009669129505794165,0.17337353246019457
