mean,group_var,bin,outcome,mkt,boot_rep
-0.00970291408893076,overall,,ch_dist,3,31
-0.00972899702468359,age,"(19.6,28.2]",ch_dist,3,31
-0.0094458598172423,age,"(28.2,36.8]",ch_dist,3,31
-0.0102991076358835,age,"(36.8,45.4]",ch_dist,3,31
-0.00906524915620692,age,"(45.4,54]",ch_dist,3,31
-0.0100345994955135,age,"[11,19.6]",ch_dist,3,31
-0.00970291408893076,ci_scorent,100,ch_dist,3,31
-0.00970291408893076,obgyn_10kwra,100,ch_dist,3,31
-0.0114394778967933,nhblack,0,ch_dist,3,31
-0.00694811878076562,nhblack,1,ch_dist,3,31
-0.00903835887257019,mcaid_unins,0,ch_dist,3,31
-0.0100683093219763,mcaid_unins,1,ch_dist,3,31
-0.00943697626630125,hispanic,0,ch_dist,3,31
-0.0114546916858442,hispanic,1,ch_dist,3,31
,overall,,ch_peri,3,31
-0.0503799939026507,overall,,ch_teach,3,31
-0.0494568278562198,age,"(19.6,28.2]",ch_teach,3,31
-0.0565719425061258,age,"(28.2,36.8]",ch_teach,3,31
-0.051327875211068,age,"(36.8,45.4]",ch_teach,3,31
-0.094474523473492,age,"(45.4,54]",ch_teach,3,31
-0.0347084845136735,age,"[11,19.6]",ch_teach,3,31
-0.0503799939026507,ci_scorent,100,ch_teach,3,31
-0.0503799939026507,obgyn_10kwra,100,ch_teach,3,31
-0.0678995840646811,nhblack,0,ch_teach,3,31
-0.041337484962537,nhblack,1,ch_teach,3,31
-0.0890036318820604,mcaid_unins,0,ch_teach,3,31
-0.0291433940639757,mcaid_unins,1,ch_teach,3,31
-0.0557880062215868,hispanic,0,ch_teach,3,31
-0.0147564984161041,hispanic,1,ch_teach,3,31
-0.0314606321686167,overall,,ch_csection,3,31
-0.0346339738503856,age,"(19.6,28.2]",ch_csection,3,31
-0.0268067247495542,age,"(28.2,36.8]",ch_csection,3,31
-0.0157759290967367,age,"(36.8,45.4]",ch_csection,3,31
-0.00895881919111023,age,"(45.4,54]",ch_csection,3,31
-0.0371972806946803,age,"[11,19.6]",ch_csection,3,31
-0.0314606321686167,ci_scorent,100,ch_csection,3,31
-0.0314606321686167,obgyn_10kwra,100,ch_csection,3,31
-0.0457897374725402,nhblack,0,ch_csection,3,31
-0.0188330525580818,nhblack,1,ch_csection,3,31
-0.0416045326304663,mcaid_unins,0,ch_csection,3,31
-0.0258831680512673,mcaid_unins,1,ch_csection,3,31
-0.0335104321918655,hispanic,0,ch_csection,3,31
-0.0179582513362273,hispanic,1,ch_csection,3,31
