mean,group_var,bin,outcome,mkt,boot_rep
-0.00978362350774273,overall,,ch_dist,3,51
-0.00992682760975783,age,"(19.6,28.2]",ch_dist,3,51
-0.00941337568346211,age,"(28.2,36.8]",ch_dist,3,51
-0.00953658467905312,age,"(36.8,45.4]",ch_dist,3,51
-0.00814591813991088,age,"(45.4,54]",ch_dist,3,51
-0.0102931490692862,age,"[11,19.6]",ch_dist,3,51
-0.00978362350774273,ci_scorent,100,ch_dist,3,51
-0.00978362350774273,obgyn_10kwra,100,ch_dist,3,51
-0.011381039051941,nhblack,0,ch_dist,3,51
-0.00724396055872615,nhblack,1,ch_dist,3,51
-0.00915790766831756,mcaid_unins,0,ch_dist,3,51
-0.0101308292331089,mcaid_unins,1,ch_dist,3,51
-0.0095431945760114,hispanic,0,ch_dist,3,51
-0.0113447979470049,hispanic,1,ch_dist,3,51
,overall,,ch_peri,3,51
-0.0510313012819215,overall,,ch_teach,3,51
-0.0520196694714264,age,"(19.6,28.2]",ch_teach,3,51
-0.0532496898499549,age,"(28.2,36.8]",ch_teach,3,51
-0.0396174625020939,age,"(36.8,45.4]",ch_teach,3,51
-0.0534870502885557,age,"(45.4,54]",ch_teach,3,51
-0.0450397752171045,age,"[11,19.6]",ch_teach,3,51
-0.0510313012819215,ci_scorent,100,ch_teach,3,51
-0.0510313012819215,obgyn_10kwra,100,ch_teach,3,51
-0.0691163044885532,nhblack,0,ch_teach,3,51
-0.0428235787215149,nhblack,1,ch_teach,3,51
-0.0857735478163311,mcaid_unins,0,ch_teach,3,51
-0.031753050438998,mcaid_unins,1,ch_teach,3,51
-0.0571026864037848,hispanic,0,ch_teach,3,51
-0.0116080455409633,hispanic,1,ch_teach,3,51
-0.0336130764585987,overall,,ch_csection,3,51
-0.0377312667995361,age,"(19.6,28.2]",ch_csection,3,51
-0.0268739322323226,age,"(28.2,36.8]",ch_csection,3,51
-0.0133675440568734,age,"(36.8,45.4]",ch_csection,3,51
-0.00508230154087277,age,"(45.4,54]",ch_csection,3,51
-0.0438560558874231,age,"[11,19.6]",ch_csection,3,51
-0.0336130764585987,ci_scorent,100,ch_csection,3,51
-0.0336130764585987,obgyn_10kwra,100,ch_csection,3,51
-0.044711617912047,nhblack,0,ch_csection,3,51
-0.0230306480325962,nhblack,1,ch_csection,3,51
-0.0420093466836724,mcaid_unins,0,ch_csection,3,51
-0.0289540397039195,mcaid_unins,1,ch_csection,3,51
-0.0347638952194526,hispanic,0,ch_csection,3,51
-0.0261404781288932,hispanic,1,ch_csection,3,51
