"variable","mean","se","l_95","u_95"
"ch_dist",-0.0449940102092545,0.000125079673713258,-0.0452391663697325,-0.0447488540487765
"ch_peri",0.246408306757714,0.00158869237917282,0.243294469694535,0.249522143820893
"ch_teach",0.164023315514053,0.000841336063123023,0.162374296830332,0.165672334197775
"ch_csection",0.0464047686413329,0.000455477938874149,0.0455120318811396,0.0472975054015263
