"term","stat","market_2","market_3","market_4","market_5","market_6","market_7","market_8","market_9","market_10","market_11"
"perilevel_plus:ins_mcaid","estimate","-0.059","-0.571","-0.221","0.756",NA,"0.126","0.301","0.001","-0.357",NA
"perilevel_plus:ins_mcaid","std.error","(0.085)","(0.343)","(0.075)","(0.035)",NA,"(0.069)","(0.037)","(0.028)","(0.111)",NA
"teach_major:ins_mcaid","estimate","-0.777",NA,NA,"-0.052",NA,NA,NA,"0.254",NA,"0.367"
"teach_major:ins_mcaid","std.error","(0.041)",NA,NA,"(0.038)",NA,NA,NA,"(0.010)",NA,"(0.059)"
"c_section_elect:ins_mcaid","estimate","-1.100","-5.279","1.111","18.804","4.063","-10.679","6.518","-1.600","-10.235","18.403"
"c_section_elect:ins_mcaid","std.error","(1.042)","(5.323)","(2.730)","(1.116)","(4.624)","(0.871)","(1.150)","(0.323)","(7.024)","(1.350)"
"psi_90:ins_mcaid","estimate","-0.089","0.353","-0.558","-0.640","-1.795","0.822","1.121","-0.362","0.775","-0.619"
"psi_90:ins_mcaid","std.error","(0.137)","(0.284)","(0.337)","(0.072)","(0.998)","(0.250)","(0.128)","(0.026)","(0.389)","(0.123)"
"diff_dist:obgyn_10kwra","estimate","0.003","0.001","0.005","-0.001","0.003","-0.000","-0.003","-0.004","0.002","-0.012"
"diff_dist:obgyn_10kwra","std.error","(0.000)","(0.000)","(0.005)","(0.000)","(0.001)","(0.000)","(0.000)","(0.000)","(0.001)","(0.001)"
"perilevel_plus:obgyn_10kwra","estimate","-0.060","0.031","0.038","0.037",NA,"0.039","0.039","0.057","0.080",NA
"perilevel_plus:obgyn_10kwra","std.error","(0.012)","(0.050)","(0.013)","(0.006)",NA,"(0.011)","(0.008)","(0.006)","(0.018)",NA
"teach_major:obgyn_10kwra","estimate","0.073",NA,NA,"-0.120",NA,NA,NA,"0.020",NA,"-0.013"
"teach_major:obgyn_10kwra","std.error","(0.004)",NA,NA,"(0.004)",NA,NA,NA,"(0.001)",NA,"(0.005)"
"c_section_elect:obgyn_10kwra","estimate","2.021","-3.559","-0.398","-1.629","2.021","-0.715","2.993","1.280","-4.127","-0.425"
"c_section_elect:obgyn_10kwra","std.error","(0.094)","(0.782)","(0.491)","(0.163)","(0.706)","(0.143)","(0.262)","(0.039)","(1.208)","(0.116)"
"psi_90:obgyn_10kwra","estimate","-0.031","-0.063","-0.187","0.057","0.454","-0.016","-0.045","0.002","0.535","-0.022"
"psi_90:obgyn_10kwra","std.error","(0.010)","(0.040)","(0.061)","(0.008)","(0.135)","(0.039)","(0.018)","(0.003)","(0.067)","(0.010)"
