"variable","mean","se","l_95","u_95"
"ch_dist",-0.019438297317873,8.50371204872619e-05,-0.019604970074028,-0.0192716245617179
"ch_peri",0.148977025572425,0.00145464003937826,0.146125931095244,0.151828120049606
"ch_teach",0.0572858055296692,0.00166155920550991,0.0540291494868698,0.0605424615724686
"ch_csection",-0.0131218199325017,0.000262237093222808,-0.0136358046352184,-0.012607835229785
