"outcome","patient_char","bin","mean","sd","l_95","u_95"
"ch_dist","age","(19.6,28.2]",-0.0192043974796599,0.000177525865593799,-0.0195523481762237,-0.018856446783096
"ch_dist","age","(28.2,36.8]",-0.0198258980062551,0.000200569345861222,-0.0202190139241431,-0.0194327820883671
"ch_dist","age","(36.8,45.4]",-0.0195729835598319,0.000280398189059026,-0.0201225640103876,-0.0190234031092762
"ch_dist","age","(45.4,54]",-0.0184656383289819,0.000960183277999123,-0.0203475975538602,-0.0165836791041036
"ch_dist","age","[11,19.6]",-0.0189774755559702,0.000239209658874152,-0.0194463264873636,-0.0185086246245769
"ch_peri","age","(19.6,28.2]",0.13474457253357,0.00239990081562802,0.130040766934939,0.139448378132201
"ch_peri","age","(28.2,36.8]",0.165857567986589,0.00231767016250529,0.161314934468079,0.170400201505099
"ch_peri","age","(36.8,45.4]",0.204188861661704,0.00312669562851551,0.198060538229813,0.210317185093594
"ch_peri","age","(45.4,54]",0.244009529907393,0.0153170313807717,0.213988148401081,0.274030911413706
"ch_peri","age","[11,19.6]",0.116906754891399,0.0033609511442102,0.110319290648747,0.123494219134051
"ch_teach","age","(19.6,28.2]",0.0591474392194051,0.00341391681212384,0.0524561622676424,0.0658387161711678
"ch_teach","age","(28.2,36.8]",0.0547675002215333,0.0042337071556229,0.0464694341965124,0.0630655662465542
"ch_teach","age","(36.8,45.4]",0.0484376419589847,0.00545246214943437,0.0377508161460934,0.0591244677718761
"ch_teach","age","(45.4,54]",0.0397429449876698,0.0122340134794719,0.0157642785679048,0.0637216114074348
"ch_teach","age","[11,19.6]",0.065555422038072,0.00341361729140302,0.0588647321469221,0.0722461119292219
"ch_csection","age","(19.6,28.2]",-0.0110147207645631,0.000444923219388691,-0.0118867702745649,-0.0101426712545613
"ch_csection","age","(28.2,36.8]",-0.0160455521325368,0.000545306745301888,-0.0171143533533285,-0.0149767509117451
"ch_csection","age","(36.8,45.4]",-0.0192558852079338,0.000898152015810209,-0.0210162631589218,-0.0174955072569458
"ch_csection","age","(45.4,54]",-0.0200716673315765,0.00260034259094884,-0.0251683388098363,-0.0149749958533168
"ch_csection","age","[11,19.6]",-0.00874591479113389,0.000627574043218727,-0.0099759599158426,-0.00751586966642519
