mean,group_var,bin,outcome,mkt,boot_rep
-0.029336279462761,overall,,ch_dist,4,81
-0.0272539378060691,age,"(19.6,28.2]",ch_dist,4,81
-0.0312275465813702,age,"(28.2,36.8]",ch_dist,4,81
-0.0397438123214373,age,"(36.8,45.4]",ch_dist,4,81
-0.0470122024274083,age,"(45.4,54]",ch_dist,4,81
-0.0262246036778496,age,"[11,19.6]",ch_dist,4,81
-0.029336279462761,ci_scorent,100,ch_dist,4,81
-0.029336279462761,obgyn_10kwra,100,ch_dist,4,81
-0.0245619095703354,nhblack,0,ch_dist,4,81
-0.0317650452437985,nhblack,1,ch_dist,4,81
-0.0193162550660839,mcaid_unins,0,ch_dist,4,81
-0.0377991379059005,mcaid_unins,1,ch_dist,4,81
-0.0288915200889496,hispanic,0,ch_dist,4,81
-0.0336404782653434,hispanic,1,ch_dist,4,81
0.14873692528767,overall,,ch_peri,4,81
0.143169801163683,age,"(19.6,28.2]",ch_peri,4,81
0.146987261201758,age,"(28.2,36.8]",ch_peri,4,81
0.185889119662558,age,"(36.8,45.4]",ch_peri,4,81
0.224254446253238,age,"(45.4,54]",ch_peri,4,81
0.165557160619971,age,"[11,19.6]",ch_peri,4,81
0.14873692528767,ci_scorent,100,ch_peri,4,81
0.14873692528767,obgyn_10kwra,100,ch_peri,4,81
0.0831971188523475,nhblack,0,ch_peri,4,81
0.191999805580311,nhblack,1,ch_peri,4,81
0.121320407058308,mcaid_unins,0,ch_peri,4,81
0.171892768386794,mcaid_unins,1,ch_peri,4,81
0.138560363293555,hispanic,0,ch_peri,4,81
0.247221518370255,hispanic,1,ch_peri,4,81
,overall,,ch_teach,4,81
-0.0334532483518281,overall,,ch_csection,4,81
-0.0386867791405816,age,"(19.6,28.2]",ch_csection,4,81
-0.021656127350122,age,"(28.2,36.8]",ch_csection,4,81
-0.0273100299131038,age,"(36.8,45.4]",ch_csection,4,81
-0.0534681568633874,age,"(45.4,54]",ch_csection,4,81
-0.0580048400575362,age,"[11,19.6]",ch_csection,4,81
-0.0334532483518281,ci_scorent,100,ch_csection,4,81
-0.0334532483518281,obgyn_10kwra,100,ch_csection,4,81
-0.0201904456346372,nhblack,0,ch_csection,4,81
-0.0611274255954837,nhblack,1,ch_csection,4,81
0.0248787849182753,mcaid_unins,0,ch_csection,4,81
-0.0827201683434695,mcaid_unins,1,ch_csection,4,81
-0.0400297640576425,hispanic,0,ch_csection,4,81
0.0301915733043356,hispanic,1,ch_csection,4,81
