mean,group_var,bin,outcome,mkt,boot_rep
-0.0302898177993526,overall,,ch_dist,4,48
-0.0291116474976302,age,"(19.6,28.2]",ch_dist,4,48
-0.0309945593792126,age,"(28.2,36.8]",ch_dist,4,48
-0.0353684207708113,age,"(36.8,45.4]",ch_dist,4,48
-0.0546223965899102,age,"(45.4,54]",ch_dist,4,48
-0.0308936428759927,age,"[11,19.6]",ch_dist,4,48
-0.0272870704036609,ci_scorent,10,ch_dist,4,48
-0.0315322247379558,ci_scorent,100,ch_dist,4,48
-0.0337526373888481,ci_scorent,75,ch_dist,4,48
-0.0372499559608101,ci_scorent,90,ch_dist,4,48
-0.0150810854359802,obgyn_10kwra,10,ch_dist,4,48
-0.0363727877796717,obgyn_10kwra,100,ch_dist,4,48
-0.0234443858727634,obgyn_10kwra,25,ch_dist,4,48
-0.0350308272261696,obgyn_10kwra,50,ch_dist,4,48
-0.033021519723626,obgyn_10kwra,75,ch_dist,4,48
-0.0384754243159613,obgyn_10kwra,90,ch_dist,4,48
-0.025897816988291,nhblack,0,ch_dist,4,48
-0.0328323659168081,nhblack,1,ch_dist,4,48
-0.0198439675387791,mcaid_unins,0,ch_dist,4,48
-0.0391498641083986,mcaid_unins,1,ch_dist,4,48
-0.0303777427833451,hispanic,0,ch_dist,4,48
-0.0294581048228594,hispanic,1,ch_dist,4,48
0.14983675743899,overall,,ch_peri,4,48
0.14040175300265,age,"(19.6,28.2]",ch_peri,4,48
0.151805499588961,age,"(28.2,36.8]",ch_peri,4,48
0.203713148680635,age,"(36.8,45.4]",ch_peri,4,48
0.216534730516124,age,"(45.4,54]",ch_peri,4,48
0.162324037281444,age,"[11,19.6]",ch_peri,4,48
0.0860771513248196,ci_scorent,10,ch_peri,4,48
0.403095788984862,ci_scorent,100,ch_peri,4,48
0.14561891813737,ci_scorent,75,ch_peri,4,48
0.252976566609536,ci_scorent,90,ch_peri,4,48
0.0915213319806169,obgyn_10kwra,10,ch_peri,4,48
0.15076177536157,obgyn_10kwra,100,ch_peri,4,48
0.116262973921947,obgyn_10kwra,25,ch_peri,4,48
0.184382498027583,obgyn_10kwra,50,ch_peri,4,48
0.150607181351623,obgyn_10kwra,75,ch_peri,4,48
0.18375457787953,obgyn_10kwra,90,ch_peri,4,48
0.0793137643577356,nhblack,0,ch_peri,4,48
0.193804560954328,nhblack,1,ch_peri,4,48
0.120001918452423,mcaid_unins,0,ch_peri,4,48
0.175142314042805,mcaid_unins,1,ch_peri,4,48
0.138738806874715,hispanic,0,ch_peri,4,48
0.254816128234972,hispanic,1,ch_peri,4,48
,overall,,ch_teach,4,48
-0.0339906573830686,overall,,ch_csection,4,48
-0.0366917465617369,age,"(19.6,28.2]",ch_csection,4,48
-0.0254757239051827,age,"(28.2,36.8]",ch_csection,4,48
-0.0334162264628633,age,"(36.8,45.4]",ch_csection,4,48
-0.0744830195867074,age,"(45.4,54]",ch_csection,4,48
-0.0569520150681425,age,"[11,19.6]",ch_csection,4,48
-0.0188217754519117,ci_scorent,10,ch_csection,4,48
-0.0710436579020419,ci_scorent,100,ch_csection,4,48
-0.0403519634855517,ci_scorent,75,ch_csection,4,48
-0.0641545977102743,ci_scorent,90,ch_csection,4,48
-0.0377120754634812,obgyn_10kwra,10,ch_csection,4,48
-0.0349272170534811,obgyn_10kwra,100,ch_csection,4,48
-0.019695165527701,obgyn_10kwra,25,ch_csection,4,48
-0.0424440504047598,obgyn_10kwra,50,ch_csection,4,48
-0.032646426118517,obgyn_10kwra,75,ch_csection,4,48
-0.0427975044889497,obgyn_10kwra,90,ch_csection,4,48
-0.0192024119920184,nhblack,0,ch_csection,4,48
-0.0626017630535803,nhblack,1,ch_csection,4,48
0.0237455944013669,mcaid_unins,0,ch_csection,4,48
-0.0829618614268033,mcaid_unins,1,ch_csection,4,48
-0.0399677931918558,hispanic,0,ch_csection,4,48
0.0225491472172978,hispanic,1,ch_csection,4,48
