mean,group_var,bin,outcome,mkt,boot_rep
-0.0252332730918314,overall,,ch_dist,8,104
-0.0245605679875351,age,"(19.6,28.2]",ch_dist,8,104
-0.0265379034451351,age,"(28.2,36.8]",ch_dist,8,104
-0.0255708887159776,age,"(36.8,45.4]",ch_dist,8,104
-0.0232981003137515,age,"(45.4,54]",ch_dist,8,104
-0.022969339014409,age,"[11,19.6]",ch_dist,8,104
-0.0251583246053297,ci_scorent,10,ch_dist,8,104
-0.0239118196363196,ci_scorent,100,ch_dist,8,104
-0.0254157765466008,ci_scorent,50,ch_dist,8,104
-0.025314850936091,ci_scorent,75,ch_dist,8,104
-0.0260799138105137,ci_scorent,90,ch_dist,8,104
-0.0288806846581376,obgyn_10kwra,10,ch_dist,8,104
-0.0239395217021278,obgyn_10kwra,100,ch_dist,8,104
-0.0274999893385039,obgyn_10kwra,25,ch_dist,8,104
-0.0262426725717522,obgyn_10kwra,50,ch_dist,8,104
-0.0226442284621329,obgyn_10kwra,75,ch_dist,8,104
-0.0231946087019518,obgyn_10kwra,90,ch_dist,8,104
-0.0249505120468756,nhblack,0,ch_dist,8,104
-0.0338190437283628,nhblack,1,ch_dist,8,104
-0.0260709879236067,mcaid_unins,0,ch_dist,8,104
-0.0245671503350654,mcaid_unins,1,ch_dist,8,104
-0.0268440907528488,hispanic,0,ch_dist,8,104
-0.0188950322347563,hispanic,1,ch_dist,8,104
0.205371622575968,overall,,ch_peri,8,104
0.204936808426572,age,"(19.6,28.2]",ch_peri,8,104
0.21313992660283,age,"(28.2,36.8]",ch_peri,8,104
0.179157755436182,age,"(36.8,45.4]",ch_peri,8,104
0.149408233853596,age,"(45.4,54]",ch_peri,8,104
0.199923723035105,age,"[11,19.6]",ch_peri,8,104
0.204798992273942,ci_scorent,10,ch_peri,8,104
0.209202017547798,ci_scorent,100,ch_peri,8,104
0.187263661615873,ci_scorent,50,ch_peri,8,104
0.206031493663927,ci_scorent,75,ch_peri,8,104
0.215263033014981,ci_scorent,90,ch_peri,8,104
0.218003324313203,obgyn_10kwra,10,ch_peri,8,104
0.219979174753819,obgyn_10kwra,100,ch_peri,8,104
0.232713249678789,obgyn_10kwra,25,ch_peri,8,104
0.230801322359436,obgyn_10kwra,50,ch_peri,8,104
0.172842836028235,obgyn_10kwra,75,ch_peri,8,104
0.187035115689921,obgyn_10kwra,90,ch_peri,8,104
0.243252632195505,nhblack,0,ch_peri,8,104
0.119140863632297,nhblack,1,ch_peri,8,104
0.247009190382937,mcaid_unins,0,ch_peri,8,104
0.172262824210978,mcaid_unins,1,ch_peri,8,104
0.219570866562514,hispanic,0,ch_peri,8,104
0.149500476788892,hispanic,1,ch_peri,8,104
0.266773945409157,overall,,ch_teach,8,104
0.24844618458461,age,"(19.6,28.2]",ch_teach,8,104
0.296661001808361,age,"(28.2,36.8]",ch_teach,8,104
0.304045162293535,age,"(36.8,45.4]",ch_teach,8,104
0.287722744217574,age,"(45.4,54]",ch_teach,8,104
0.200097805296311,age,"[11,19.6]",ch_teach,8,104
0.246526674731676,ci_scorent,10,ch_teach,8,104
0.312520892178356,ci_scorent,100,ch_teach,8,104
0.279579906332385,ci_scorent,50,ch_teach,8,104
0.274560104435834,ci_scorent,75,ch_teach,8,104
0.288205678896564,ci_scorent,90,ch_teach,8,104
0.315538397857528,obgyn_10kwra,10,ch_teach,8,104
0.254193789655511,obgyn_10kwra,100,ch_teach,8,104
0.261823613633908,obgyn_10kwra,25,ch_teach,8,104
0.303609013013438,obgyn_10kwra,50,ch_teach,8,104
0.232324338882304,obgyn_10kwra,75,ch_teach,8,104
0.208758809700838,obgyn_10kwra,90,ch_teach,8,104
0.308053681407597,nhblack,0,ch_teach,8,104
0.262195478712921,nhblack,1,ch_teach,8,104
0.293485141875717,mcaid_unins,0,ch_teach,8,104
0.245534097250904,mcaid_unins,1,ch_teach,8,104
0.297726189896993,hispanic,0,ch_teach,8,104
0.144983139796144,hispanic,1,ch_teach,8,104
-0.0221440827651831,overall,,ch_csection,8,104
-0.0218386511986886,age,"(19.6,28.2]",ch_csection,8,104
-0.0242474478878771,age,"(28.2,36.8]",ch_csection,8,104
-0.0180527516092027,age,"(36.8,45.4]",ch_csection,8,104
-0.0107083869035119,age,"(45.4,54]",ch_csection,8,104
-0.0183709439587924,age,"[11,19.6]",ch_csection,8,104
-0.0181167753502356,ci_scorent,10,ch_csection,8,104
-0.0397072312643336,ci_scorent,100,ch_csection,8,104
-0.0147671100919932,ci_scorent,50,ch_csection,8,104
-0.0238379365150655,ci_scorent,75,ch_csection,8,104
-0.0271763790761611,ci_scorent,90,ch_csection,8,104
-0.0471211854097871,obgyn_10kwra,10,ch_csection,8,104
0.000975264421128699,obgyn_10kwra,100,ch_csection,8,104
-0.0368125227323098,obgyn_10kwra,25,ch_csection,8,104
-0.0290359816366886,obgyn_10kwra,50,ch_csection,8,104
-0.00984160087270688,obgyn_10kwra,75,ch_csection,8,104
-0.00636140413466409,obgyn_10kwra,90,ch_csection,8,104
-0.0371879543136317,nhblack,0,ch_csection,8,104
0.0110479207539239,nhblack,1,ch_csection,8,104
-0.0375334220329216,mcaid_unins,0,ch_csection,8,104
-0.00990699597980404,mcaid_unins,1,ch_csection,8,104
-0.0267670478267522,hispanic,0,ch_csection,8,104
-0.00395365268536813,hispanic,1,ch_csection,8,104
