mean,group_var,bin,outcome,mkt,boot_rep
-0.00860085125822339,overall,,ch_dist,6,32
-0.00839789216520592,age,"(19.6,28.2]",ch_dist,6,32
-0.00949540053921697,age,"(28.2,36.8]",ch_dist,6,32
-0.00972562871747298,age,"(36.8,45.4]",ch_dist,6,32
-0.0123319154904394,age,"(45.4,54]",ch_dist,6,32
-0.00712592074115002,age,"[11,19.6]",ch_dist,6,32
-0.00860085125822339,ci_scorent,100,ch_dist,6,32
-0.00860085125822339,obgyn_10kwra,100,ch_dist,6,32
-0.010289320641025,nhblack,0,ch_dist,6,32
-0.00801562511208697,nhblack,1,ch_dist,6,32
-0.0112652623307972,mcaid_unins,0,ch_dist,6,32
-0.00817538091225584,mcaid_unins,1,ch_dist,6,32
-0.00951135634724429,hispanic,0,ch_dist,6,32
-0.00355105881127687,hispanic,1,ch_dist,6,32
,overall,,ch_peri,6,32
,overall,,ch_teach,6,32
0.0320613736653937,overall,,ch_csection,6,32
0.0312061165193682,age,"(19.6,28.2]",ch_csection,6,32
0.0341605098324376,age,"(28.2,36.8]",ch_csection,6,32
0.0410843932971449,age,"(36.8,45.4]",ch_csection,6,32
0.0540891375498358,age,"(45.4,54]",ch_csection,6,32
0.0276538650489249,age,"[11,19.6]",ch_csection,6,32
0.0320613736653937,ci_scorent,100,ch_csection,6,32
0.0320613736653937,obgyn_10kwra,100,ch_csection,6,32
0.0331557331713399,nhblack,0,ch_csection,6,32
0.0304122653927156,nhblack,1,ch_csection,6,32
0.0186120382095195,mcaid_unins,0,ch_csection,6,32
0.0342090503014605,mcaid_unins,1,ch_csection,6,32
0.0322577358300731,hispanic,0,ch_csection,6,32
0.0309723208000985,hispanic,1,ch_csection,6,32
