mean,group_var,bin,outcome,mkt,boot_rep
-0.00829246047234858,overall,,ch_dist,6,62
-0.00805156055040681,age,"(19.6,28.2]",ch_dist,6,62
-0.0093090430320882,age,"(28.2,36.8]",ch_dist,6,62
-0.00909917100306285,age,"(36.8,45.4]",ch_dist,6,62
-0.0109956397825698,age,"(45.4,54]",ch_dist,6,62
-0.00673993205525343,age,"[11,19.6]",ch_dist,6,62
-0.00781301640233361,ci_scorent,10,ch_dist,6,62
-0.00999434471461521,ci_scorent,100,ch_dist,6,62
-0.00904568123123004,ci_scorent,75,ch_dist,6,62
-0.00882151722735747,ci_scorent,90,ch_dist,6,62
-0.0118938965407868,obgyn_10kwra,10,ch_dist,6,62
-0.0058724408263559,obgyn_10kwra,100,ch_dist,6,62
-0.00829029060141488,obgyn_10kwra,25,ch_dist,6,62
-0.00857743614057848,obgyn_10kwra,50,ch_dist,6,62
-0.00708431237177888,obgyn_10kwra,75,ch_dist,6,62
-0.00548206977852567,obgyn_10kwra,90,ch_dist,6,62
-0.0101018326158828,nhblack,0,ch_dist,6,62
-0.00734871405449543,nhblack,1,ch_dist,6,62
-0.0118342858344829,mcaid_unins,0,ch_dist,6,62
-0.00774349333883312,mcaid_unins,1,ch_dist,6,62
-0.00925688967381816,hispanic,0,ch_dist,6,62
-0.00297414900160309,hispanic,1,ch_dist,6,62
,overall,,ch_peri,6,62
,overall,,ch_teach,6,62
0.0355075462499639,overall,,ch_csection,6,62
0.0358637254447015,age,"(19.6,28.2]",ch_csection,6,62
0.0331017842033151,age,"(28.2,36.8]",ch_csection,6,62
0.0398487168030934,age,"(36.8,45.4]",ch_csection,6,62
0.052471141377339,age,"(45.4,54]",ch_csection,6,62
0.0371093780245417,age,"[11,19.6]",ch_csection,6,62
0.0346811425893839,ci_scorent,10,ch_csection,6,62
0.0414944478580129,ci_scorent,100,ch_csection,6,62
0.0346050125106531,ci_scorent,75,ch_csection,6,62
0.0377048428860832,ci_scorent,90,ch_csection,6,62
0.024728981347291,obgyn_10kwra,10,ch_csection,6,62
0.0510016937347379,obgyn_10kwra,100,ch_csection,6,62
0.0221281613765154,obgyn_10kwra,25,ch_csection,6,62
0.0359065110197405,obgyn_10kwra,50,ch_csection,6,62
0.0404201246257892,obgyn_10kwra,75,ch_csection,6,62
0.0400126568604358,obgyn_10kwra,90,ch_csection,6,62
0.0323071925171159,nhblack,0,ch_csection,6,62
0.0338828129499579,nhblack,1,ch_csection,6,62
0.00419670625355933,mcaid_unins,0,ch_csection,6,62
0.0403605867935637,mcaid_unins,1,ch_csection,6,62
0.0335777292066589,hispanic,0,ch_csection,6,62
0.0461494555805922,hispanic,1,ch_csection,6,62
